,city,confidence,country,id,imageId,imageUrl,inscale,isJamUnifiedAlert,location,magvar,nComments,nImages,nThumbsUp,nearBy,pubMillis,reliability,reportBy,reportByActiveGroupIcon,reportByActiveGroupName,reportDescription,reportMood,reportRating,roadType,showFacebookPic,speed,street,subtype,type,uuid,wazeData,datetime,lon,lat,thumbs_up,thumbs_down,comments,geometry
83,Bukit Merah,0,SN,alert-1652813558/93548e7d-55cb-30dc-b96e-40ab20e24e0b,,,False,False,"{'x': 103.82312, 'y': 1.290495}",195,0,0,0,,1563868904000,5,,,,,1,0,,False,0,Henderson Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,93548e7d-55cb-30dc-b96e-40ab20e24e0b,"world,103.82312,1.290495,93548e7d-55cb-30dc-b96e-40ab20e24e0b,1652813558",2019-07-23 08:01:44,103.82312,1.290495,0,0,0,POINT (103.82312 1.290495)
84,Rochor,0,SN,alert-1650135379/b46920c2-a371-3565-85b2-6404864baa2f,,,False,False,"{'x': 103.852758, 'y': 1.296804}",223,0,0,0,,1563869012000,5,,,,,50,2,1.0,False,0,Miller St,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,b46920c2-a371-3565-85b2-6404864baa2f,"world,103.852758,1.296804,b46920c2-a371-3565-85b2-6404864baa2f,1650135379",2019-07-23 08:03:32,103.852758,1.296804,0,0,0,POINT (103.852758 1.296804)
85,Outram,2,SN,alert-1637460272/3744cc82-0ad4-35f9-9120-64eaa61f6dfa,,,False,False,"{'x': 103.838973, 'y': 1.277679}",257,0,0,4,,1563849667000,9,,,,,10,2,1.0,False,0,Neil Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,3744cc82-0ad4-35f9-9120-64eaa61f6dfa,"world,103.838973,1.277679,3744cc82-0ad4-35f9-9120-64eaa61f6dfa,1637460272",2019-07-23 02:41:07,103.838973,1.277679,4,0,4,POINT (103.838973 1.277679)
86,Newton,1,SN,alert-1648720338/997bcf81-8201-34c1-90b3-5022817f6944,,,False,False,"{'x': 103.843459, 'y': 1.30928}",221,0,0,3,,1563850011000,8,,,,,1,0,1.0,False,0,Cavenagh Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,997bcf81-8201-34c1-90b3-5022817f6944,"world,103.843459,1.30928,997bcf81-8201-34c1-90b3-5022817f6944,1648720338",2019-07-23 02:46:51,103.843459,1.30928,3,0,3,POINT (103.843459 1.30928)
87,,0,SN,alert-1658072846/5224cb8f-f5f7-3250-8dbe-d17ea5d26cb9,,,False,False,"{'x': 103.737001, 'y': 1.345187}",232,0,0,2,Bukit Batok West Avenue 8,1563856958000,8,,,,,34,0,,False,0,To: Jurong Town Hall Road,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,5224cb8f-f5f7-3250-8dbe-d17ea5d26cb9,"world,103.737001,1.345187,5224cb8f-f5f7-3250-8dbe-d17ea5d26cb9,1658072846",2019-07-23 04:42:38,103.737001,1.345187,2,0,2,POINT (103.737001 1.345187)
88,Bukit Batok,0,SN,alert-1634863253/3beb207b-addb-3686-a5ab-1653e4fb3475,,,False,False,"{'x': 103.744478, 'y': 1.347329}",237,0,0,1,,1563852448000,6,Seckleonglee,,,,49,4,1.0,False,0,Bukit Batok West Ave 8,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,3beb207b-addb-3686-a5ab-1653e4fb3475,"world,103.744478,1.347329,3beb207b-addb-3686-a5ab-1653e4fb3475,1634863253",2019-07-23 03:27:28,103.744478,1.347329,1,0,1,POINT (103.744478 1.347329)
89,Jurong,0,SN,alert-1654299675/e06f7c63-e9da-3ecc-a570-3a8c0905d08b,,,False,False,"{'x': 103.721399, 'y': 1.342218}",182,0,0,1,,1563846716000,6,jorjerang,,,,46,2,1.0,False,0,Yuan Ching Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,e06f7c63-e9da-3ecc-a570-3a8c0905d08b,"world,103.721399,1.342218,e06f7c63-e9da-3ecc-a570-3a8c0905d08b,1654299675",2019-07-23 01:51:56,103.721399,1.342218,1,0,1,POINT (103.721399 1.342218)
90,Jurong West,0,SN,alert-1645642049/dda9cd66-e188-39bb-a5dc-3afcbdc07bb5,,,False,False,"{'x': 103.725593, 'y': 1.348699}",160,0,0,1,,1563847267000,7,,,,,1,1,1.0,False,0,Jurong West St 41,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,dda9cd66-e188-39bb-a5dc-3afcbdc07bb5,"world,103.725593,1.348699,dda9cd66-e188-39bb-a5dc-3afcbdc07bb5,1645642049",2019-07-23 02:01:07,103.725593,1.348699,1,0,1,POINT (103.725593 1.348699)
91,Jurong East,1,SN,alert-1636143012/e7fc4d60-af88-3b26-950e-f285817a3473,,,False,False,"{'x': 103.736124, 'y': 1.343346}",200,0,0,2,,1563852633000,7,,,,,1,4,2.0,False,0,Jurong Town Hall Road,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,e7fc4d60-af88-3b26-950e-f285817a3473,"world,103.736124,1.343346,e7fc4d60-af88-3b26-950e-f285817a3473,1636143012",2019-07-23 03:30:33,103.736124,1.343346,2,0,2,POINT (103.736124 1.343346)
92,Jurong West,0,SN,alert-1642262021/22ee12d1-6547-34cb-98ef-e213572b7f68,,,False,False,"{'x': 103.726026, 'y': 1.347453}",7,0,0,1,,1563848835000,6,,,,,1,1,,False,0,Jurong West St 41,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,22ee12d1-6547-34cb-98ef-e213572b7f68,"world,103.726026,1.347453,22ee12d1-6547-34cb-98ef-e213572b7f68,1642262021",2019-07-23 02:27:15,103.726026,1.347453,1,0,1,POINT (103.726026 1.347453)
93,Jurong West,3,SN,alert-1654301385/b54b21f5-6d9e-3832-8c8e-7d758778bd0e,,,False,False,"{'x': 103.714144, 'y': 1.353192}",55,1,0,6,,1563854863000,10,,,,,24,3,2.0,False,0,Jurong West Ave 2,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,b54b21f5-6d9e-3832-8c8e-7d758778bd0e,"world,103.714144,1.353192,b54b21f5-6d9e-3832-8c8e-7d758778bd0e,1654301385",2019-07-23 04:07:43,103.714144,1.353192,6,1,7,POINT (103.714144 1.353192)
94,,0,SN,alert-1645643729/9cfaf539-8514-31d2-bc22-f1dcd31ad45c,,,False,False,"{'x': 103.736964, 'y': 1.345157}",232,0,0,1,Bukit Batok West Avenue 8,1563855361000,6,,,,,24,3,4.0,False,0,To: Jurong Town Hall Road,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,9cfaf539-8514-31d2-bc22-f1dcd31ad45c,"world,103.736964,1.345157,9cfaf539-8514-31d2-bc22-f1dcd31ad45c,1645643729",2019-07-23 04:16:01,103.736964,1.345157,1,0,1,POINT (103.736964 1.345157)
95,Bukit Batok,0,SN,alert-1655802834/7a0d0d8b-0f0f-380a-b68d-d5b1c72cdf14,,,False,False,"{'x': 103.75011, 'y': 1.3516}",134,0,0,0,,1563861505000,6,,,,,24,2,2.0,False,0,Bukit Batok Central,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,7a0d0d8b-0f0f-380a-b68d-d5b1c72cdf14,"world,103.75011,1.3516,7a0d0d8b-0f0f-380a-b68d-d5b1c72cdf14,1655802834",2019-07-23 05:58:25,103.75011,1.3516,0,0,0,POINT (103.75011 1.3516)
96,Jurong West,0,SN,alert-1634986852/c0ca1d9f-cb55-3c35-b5a5-2e927f1ad206,,,False,False,"{'x': 103.725986, 'y': 1.347141}",7,0,0,0,,1563868323000,5,Muliantoh,,,,50,4,1.0,False,0,Jurong West St 41,JAM_HEAVY_TRAFFIC,JAM,c0ca1d9f-cb55-3c35-b5a5-2e927f1ad206,"world,103.725986,1.347141,c0ca1d9f-cb55-3c35-b5a5-2e927f1ad206,1634986852",2019-07-23 07:52:03,103.725986,1.347141,0,0,0,POINT (103.725986 1.347141)
97,,0,SN,alert-1652186485/f7d5c8fc-08fb-3ab7-a5b2-b03199e6b431,,,False,False,"{'x': 103.721187, 'y': 1.355334}",267,0,0,0,Boon Lay,1563868961000,5,,,,,10,3,4.0,False,0,Exit 34: Corporation Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,f7d5c8fc-08fb-3ab7-a5b2-b03199e6b431,"world,103.721187,1.355334,f7d5c8fc-08fb-3ab7-a5b2-b03199e6b431,1652186485",2019-07-23 08:02:41,103.721187,1.355334,0,0,0,POINT (103.721187 1.355334)
98,Bukit Timah,2,SN,alert-1645641919/6fbaf838-64a8-356b-8b54-c94b6a09f904,,,False,False,"{'x': 103.791498, 'y': 1.332999}",292,0,0,5,,1563846428000,10,,,,,50,2,2.0,False,0,Bukit Timah Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,6fbaf838-64a8-356b-8b54-c94b6a09f904,"world,103.791498,1.332999,6fbaf838-64a8-356b-8b54-c94b6a09f904,1645641919",2019-07-23 01:47:08,103.791498,1.332999,5,0,5,POINT (103.791498 1.332999)
99,Bukit Timah,0,SN,alert-1641586701/a7d59fd6-06ad-314b-a1bb-71734ac022a3,,,False,False,"{'x': 103.79853, 'y': 1.335411}",199,0,0,0,,1563856625000,5,,,,,49,2,2.0,False,0,Eng Neo Ave,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,a7d59fd6-06ad-314b-a1bb-71734ac022a3,"world,103.79853,1.335411,a7d59fd6-06ad-314b-a1bb-71734ac022a3,1641586701",2019-07-23 04:37:05,103.79853,1.335411,0,0,0,POINT (103.79853 1.335411)
100,Bukit Timah,0,SN,alert-1653801615/9baa9bf0-5c3d-330e-b095-bc02bf512d5d,,,False,False,"{'x': 103.76887, 'y': 1.339822}",58,0,0,0,,1563843761000,6,,,,,49,4,1.0,False,0,Toh Tuck Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,9baa9bf0-5c3d-330e-b095-bc02bf512d5d,"world,103.76887,1.339822,9baa9bf0-5c3d-330e-b095-bc02bf512d5d,1653801615",2019-07-23 01:02:41,103.76887,1.339822,0,0,0,POINT (103.76887 1.339822)
101,Bukit Timah,1,SN,alert-1635201923/0fde860e-0481-3862-9630-aff403305b91,,,False,False,"{'x': 103.789012, 'y': 1.333903}",290,0,0,3,,1563846454000,8,,,,,50,2,2.0,False,0,Bukit Timah Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,0fde860e-0481-3862-9630-aff403305b91,"world,103.789012,1.333903,0fde860e-0481-3862-9630-aff403305b91,1635201923",2019-07-23 01:47:34,103.789012,1.333903,3,0,3,POINT (103.789012 1.333903)
102,Bukit Timah,0,SN,alert-1652342547/9df37452-6175-33bf-9f9f-0920b8bb6a84,,,False,False,"{'x': 103.776826, 'y': 1.339068}",323,0,0,0,,1563858682000,5,wendythy95,,,,10,4,2.0,False,0,Upp Bukit Timah Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,9df37452-6175-33bf-9f9f-0920b8bb6a84,"world,103.776826,1.339068,9df37452-6175-33bf-9f9f-0920b8bb6a84,1652342547",2019-07-23 05:11:22,103.776826,1.339068,0,0,0,POINT (103.776826 1.339068)
103,Bukit Timah,4,SN,alert-1655415247/60f37f7d-7a11-3249-b74e-f66f09f397f2,,,False,False,"{'x': 103.798576, 'y': 1.335551}",199,0,0,9,,1563854398000,10,,,,,49,2,2.0,False,0,Eng Neo Ave,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,60f37f7d-7a11-3249-b74e-f66f09f397f2,"world,103.798576,1.335551,60f37f7d-7a11-3249-b74e-f66f09f397f2,1655415247",2019-07-23 03:59:58,103.798576,1.335551,9,0,9,POINT (103.798576 1.335551)
104,Bukit Timah,3,SN,alert-1640282770/e0ab163e-1edb-3fca-855d-ab7a83ac04b2,,,False,False,"{'x': 103.779892, 'y': 1.337394}",109,0,0,8,,1563850211000,10,,,,,0,3,1.0,False,0,,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,e0ab163e-1edb-3fca-855d-ab7a83ac04b2,"world,103.779892,1.337394,e0ab163e-1edb-3fca-855d-ab7a83ac04b2,1640282770",2019-07-23 02:50:11,103.779892,1.337394,8,0,8,POINT (103.779892 1.337394)
105,Bukit Timah,0,SN,alert-1633464003/f32ea00f-3a20-3d27-a328-c92e8e286a6a,,,False,False,"{'x': 103.79601, 'y': 1.333088}",290,0,0,1,,1563856010000,6,uniquely_ad,kiss,Kiss 92,,38,2,1.0,False,0,Vanda Link,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,f32ea00f-3a20-3d27-a328-c92e8e286a6a,"world,103.79601,1.333088,f32ea00f-3a20-3d27-a328-c92e8e286a6a,1633464003",2019-07-23 04:26:50,103.79601,1.333088,1,0,1,POINT (103.79601 1.333088)
106,Bukit Timah,0,SN,alert-1640376672/ef5278fd-40d2-31ff-a51b-1d152877f9f9,,,False,False,"{'x': 103.77892, 'y': 1.337987}",23,0,0,1,,1563860888000,6,beetlemoose,,,,0,4,2.0,False,0,Jln Anak Bukit,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,ef5278fd-40d2-31ff-a51b-1d152877f9f9,"world,103.77892,1.337987,ef5278fd-40d2-31ff-a51b-1d152877f9f9,1640376672",2019-07-23 05:48:08,103.77892,1.337987,1,0,1,POINT (103.77892 1.337987)
107,Bukit Timah,0,SN,alert-1653806335/4ba9f789-b0ea-3c6f-8cae-83f49fa0007c,,,False,False,"{'x': 103.780473, 'y': 1.336926}",290,0,0,0,,1563866101000,6,,,,,40,2,2.0,False,0,Bukit Timah Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,4ba9f789-b0ea-3c6f-8cae-83f49fa0007c,"world,103.780473,1.336926,4ba9f789-b0ea-3c6f-8cae-83f49fa0007c,1653806335",2019-07-23 07:15:01,103.780473,1.336926,0,0,0,POINT (103.780473 1.336926)
108,Bukit Timah,0,SN,alert-1639675193/4f4a86bb-e881-3f90-9e8a-e21573f8da11,,,False,False,"{'x': 103.779533, 'y': 1.337523}",100,0,0,0,,1563867931000,5,nicjude,onefm913,One FM 91.3,Right lane,52,3,2.0,False,0,Dunearn Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,4f4a86bb-e881-3f90-9e8a-e21573f8da11,"world,103.779533,1.337523,4f4a86bb-e881-3f90-9e8a-e21573f8da11,1639675193",2019-07-23 07:45:31,103.779533,1.337523,0,0,0,POINT (103.779533 1.337523)
109,Bukit Batok,0,SN,alert-1650959727/03352ed2-42a0-3397-b181-08f5a6b2f84a,,,False,False,"{'x': 103.755871, 'y': 1.347079}",224,0,0,0,,1563838548000,6,Blitz30sce,ufmnew1,UFM 100.3,,49,4,1.0,False,0,Bukit Batok St 21,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,03352ed2-42a0-3397-b181-08f5a6b2f84a,"world,103.755871,1.347079,03352ed2-42a0-3397-b181-08f5a6b2f84a,1650959727",2019-07-22 23:35:48,103.755871,1.347079,0,0,0,POINT (103.755871 1.347079)
110,Bukit Timah,3,SN,alert-1649153669/6a85501b-6cac-39ea-963b-082466551485,,,False,False,"{'x': 103.770795, 'y': 1.348219}",324,1,0,5,,1563846185000,10,,,,,10,2,2.0,False,0,Upp Bukit Timah Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,6a85501b-6cac-39ea-963b-082466551485,"world,103.770795,1.348219,6a85501b-6cac-39ea-963b-082466551485,1649153669",2019-07-23 01:43:05,103.770795,1.348219,5,1,6,POINT (103.770795 1.348219)
111,Bukit Timah,2,SN,alert-1646160099/c87ea739-7c2c-3dd8-81be-997fec93d606,,,False,False,"{'x': 103.774711, 'y': 1.344783}",310,0,0,5,,1563847280000,10,ZhengtuoWang,,,,27,5,2.0,False,0,Jln Anak Bukit,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,c87ea739-7c2c-3dd8-81be-997fec93d606,"world,103.774711,1.344783,c87ea739-7c2c-3dd8-81be-997fec93d606,1646160099",2019-07-23 02:01:20,103.774711,1.344783,5,0,5,POINT (103.774711 1.344783)
112,,3,SN,alert-1652824865/6c99a8d6-154d-31ba-bd4f-945ef159d8d9,,,False,False,"{'x': 103.781507, 'y': 1.34267}",73,3,0,4,Bukit Timah,1563857806000,10,,,,,24,3,4.0,False,0,to: PIE (Changi Airport),HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,6c99a8d6-154d-31ba-bd4f-945ef159d8d9,"world,103.781507,1.34267,6c99a8d6-154d-31ba-bd4f-945ef159d8d9,1652824865",2019-07-23 04:56:46,103.781507,1.34267,4,3,7,POINT (103.781507 1.34267)
113,,0,SN,alert-1658653606/84532dab-7a92-33b6-9dac-1951998082b0,,,False,False,"{'x': 103.793482, 'y': 1.348005}",241,0,0,0,Bukit Timah,1563868906000,6,,,,,10,3,4.0,False,0,Exit 24: BKE (Woodlands),ACCIDENT_MINOR,ACCIDENT,84532dab-7a92-33b6-9dac-1951998082b0,"world,103.793482,1.348005,84532dab-7a92-33b6-9dac-1951998082b0,1658653606",2019-07-23 08:01:46,103.793482,1.348005,0,0,0,POINT (103.793482 1.348005)
114,Mandai,1,SN,alert-1654319015/8fd753ca-a6d0-3014-bfb1-e15b4c40477e,,,False,False,"{'x': 103.786669, 'y': 1.404659}",127,0,0,3,,1563842306000,9,,,,,48,4,1.0,False,0,Mandai Lake Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,8fd753ca-a6d0-3014-bfb1-e15b4c40477e,"world,103.786669,1.404659,8fd753ca-a6d0-3014-bfb1-e15b4c40477e,1654319015",2019-07-23 00:38:26,103.786669,1.404659,3,0,3,POINT (103.786669 1.404659)
115,Lim Chu Kang,0,SN,alert-1657595286/5ba96334-facf-335e-b8da-3d3e1421bb69,,,False,False,"{'x': 103.712476, 'y': 1.373071}",73,0,0,0,,1563854840000,5,,,,,10,4,2.0,False,0,Old Choa Chu Kang Road,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,5ba96334-facf-335e-b8da-3d3e1421bb69,"world,103.712476,1.373071,5ba96334-facf-335e-b8da-3d3e1421bb69,1657595286",2019-07-23 04:07:20,103.712476,1.373071,0,0,0,POINT (103.712476 1.373071)
116,Choa Chu Kang,0,SN,alert-1659932814/30432577-c44b-30fc-85c7-9a412dd2823c,,,False,False,"{'x': 103.758222, 'y': 1.379701}",116,0,0,1,,1563856986000,6,,,,,1,3,1.0,False,0,Jln Teck Whye,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,30432577-c44b-30fc-85c7-9a412dd2823c,"world,103.758222,1.379701,30432577-c44b-30fc-85c7-9a412dd2823c,1659932814",2019-07-23 04:43:06,103.758222,1.379701,1,0,1,POINT (103.758222 1.379701)
117,,2,SN,alert-1641313522/b6ed5b2b-3cc6-3250-9b22-0d76a00a5018,,,False,False,"{'x': 103.759071, 'y': 1.383895}",0,0,0,5,,1563860616000,10,,,,,21,2,,False,0,,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,b6ed5b2b-3cc6-3250-9b22-0d76a00a5018,"world,103.759071,1.383895,b6ed5b2b-3cc6-3250-9b22-0d76a00a5018,1641313522",2019-07-23 05:43:36,103.759071,1.383895,5,0,5,POINT (103.759071 1.383895)
118,,0,SN,alert-1654124095/94094e82-b738-3403-8fbf-5791c0691acd,,,False,False,"{'x': 103.778204, 'y': 1.372589}",170,0,0,0,Bukit Panjang,1563865317000,6,,,,,10,3,4.0,False,0,to: BKE (PIE),HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,94094e82-b738-3403-8fbf-5791c0691acd,"world,103.778204,1.372589,94094e82-b738-3403-8fbf-5791c0691acd,1654124095",2019-07-23 07:01:57,103.778204,1.372589,0,0,0,POINT (103.778204 1.372589)
119,Bukit Panjang,0,SN,alert-1652773318/712a8add-76df-362f-b79c-e6d65fe82f18,,,False,False,"{'x': 103.772607, 'y': 1.376897}",122,0,0,1,,1563867233000,6,,,,,10,2,2.0,False,0,Bukit Panjang Rd,HAZARD_ON_ROAD_CAR_STOPPED,HAZARD,712a8add-76df-362f-b79c-e6d65fe82f18,"world,103.772607,1.376897,712a8add-76df-362f-b79c-e6d65fe82f18,1652773318",2019-07-23 07:33:53,103.772607,1.376897,1,0,1,POINT (103.772607 1.376897)
120,Choa Chu Kang,0,SN,alert-1658614176/904e7a10-5aa6-3a2d-b661-55f09a3c43fe,,,False,False,"{'x': 103.74327, 'y': 1.374312}",127,0,0,0,,1563868036000,5,ryanrawi,,,,50,3,,False,0,,HAZARD_ON_ROAD_CAR_STOPPED,HAZARD,904e7a10-5aa6-3a2d-b661-55f09a3c43fe,"world,103.74327,1.374312,904e7a10-5aa6-3a2d-b661-55f09a3c43fe,1658614176",2019-07-23 07:47:16,103.74327,1.374312,0,0,0,POINT (103.74327 1.374312)
121,Choa Chu Kang,3,SN,alert-1636980823/223869a1-abf0-384c-ae3a-fa4208365f4a,,,False,False,"{'x': 103.747695, 'y': 1.369795}",312,0,0,7,,1563840601000,10,,,,,0,3,,False,0,Brickland Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,223869a1-abf0-384c-ae3a-fa4208365f4a,"world,103.747695,1.369795,223869a1-abf0-384c-ae3a-fa4208365f4a,1636980823",2019-07-23 00:10:01,103.747695,1.369795,7,0,7,POINT (103.747695 1.369795)
122,Novena,4,SN,alert-1643921919/848105e9-494a-3397-af1f-688461ae01ae,,,False,False,"{'x': 103.841779, 'y': 1.321677}",341,1,0,8,,1563845978000,10,,,,,49,4,2.0,False,0,Thomson Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,848105e9-494a-3397-af1f-688461ae01ae,"world,103.841779,1.321677,848105e9-494a-3397-af1f-688461ae01ae,1643921919",2019-07-23 01:39:38,103.841779,1.321677,8,1,9,POINT (103.841779 1.321677)
123,Bukit Timah,5,SN,alert-1656485514/c87754d2-e2e5-3afa-98d3-67e17cb60b08,,,False,False,"{'x': 103.806368, 'y': 1.327285}",123,0,0,12,,1563848706000,10,SkyToh85,,,,49,5,,False,0,Dunearn Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,c87754d2-e2e5-3afa-98d3-67e17cb60b08,"world,103.806368,1.327285,c87754d2-e2e5-3afa-98d3-67e17cb60b08,1656485514",2019-07-23 02:25:06,103.806368,1.327285,12,0,12,POINT (103.806368 1.327285)
124,Novena,2,SN,alert-1640982371/d01aa3e0-a5a2-367d-a230-860c495746c3,,,False,False,"{'x': 103.837969, 'y': 1.327106}",252,0,0,6,,1563856961000,10,,,,,50,2,1.0,False,0,Whitley Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,d01aa3e0-a5a2-367d-a230-860c495746c3,"world,103.837969,1.327106,d01aa3e0-a5a2-367d-a230-860c495746c3,1640982371",2019-07-23 04:42:41,103.837969,1.327106,6,0,6,POINT (103.837969 1.327106)
125,Novena,0,SN,alert-1641146200/2290d1ff-2902-3233-ae64-7bc0a3957e9c,,,False,False,"{'x': 103.841725, 'y': 1.323225}",188,0,0,1,,1563867436000,6,,,,,10,4,2.0,False,0,Thomson Rd,HAZARD_ON_SHOULDER_MISSING_SIGN,HAZARD,2290d1ff-2902-3233-ae64-7bc0a3957e9c,"world,103.841725,1.323225,2290d1ff-2902-3233-ae64-7bc0a3957e9c,1641146200",2019-07-23 07:37:16,103.841725,1.323225,1,0,1,POINT (103.841725 1.323225)
126,Thomson,1,SN,alert-1644953611/d394bcaf-5d3a-39fd-b087-32ab26891abb,,,False,False,"{'x': 103.840796, 'y': 1.328447}",333,0,0,3,,1563868603000,9,,,,,49,3,2.0,False,0,Thomson Rd,ACCIDENT_MINOR,ACCIDENT,d394bcaf-5d3a-39fd-b087-32ab26891abb,"world,103.840796,1.328447,d394bcaf-5d3a-39fd-b087-32ab26891abb,1644953611",2019-07-23 07:56:43,103.840796,1.328447,3,0,3,POINT (103.840796 1.328447)
127,Bukit Timah,0,SN,alert-1656375347/41d6d442-7366-3114-b3ff-ae49a45afb5a,,,False,False,"{'x': 103.83311, 'y': 1.31863}",106,0,0,0,,1563869133000,5,,,,,0,0,2.0,False,0,Dunearn Rd,JAM_HEAVY_TRAFFIC,JAM,41d6d442-7366-3114-b3ff-ae49a45afb5a,"world,103.83311,1.31863,41d6d442-7366-3114-b3ff-ae49a45afb5a,1656375347",2019-07-23 08:05:33,103.83311,1.31863,0,0,0,POINT (103.83311 1.31863)
128,Bishan,0,SN,alert-1640395242/8f776e61-d14f-3ece-b507-d35dcd3fb819,,,False,False,"{'x': 103.838258, 'y': 1.356561}",216,0,0,0,,1563854371000,5,DarrionATeo,kiss,Kiss 92,,10,3,1.0,False,0,Sin Ming Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,8f776e61-d14f-3ece-b507-d35dcd3fb819,"world,103.838258,1.356561,8f776e61-d14f-3ece-b507-d35dcd3fb819,1640395242",2019-07-23 03:59:31,103.838258,1.356561,0,0,0,POINT (103.838258 1.356561)
129,Thomson,0,SN,alert-1639732733/c47390fa-e49a-3d82-91be-d498f1149213,,,False,False,"{'x': 103.833919, 'y': 1.353566}",311,0,0,0,,1563860524000,5,hskkCool,,,,46,3,,False,0,Upp Thomson Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,c47390fa-e49a-3d82-91be-d498f1149213,"world,103.833919,1.353566,c47390fa-e49a-3d82-91be-d498f1149213,1639732733",2019-07-23 05:42:04,103.833919,1.353566,0,0,0,POINT (103.833919 1.353566)
130,Bishan,0,SN,alert-1656353957/e0137f63-effc-32dc-b521-ce22169a91bf,,,False,False,"{'x': 103.83623, 'y': 1.354457}",35,0,0,0,,1563863042000,5,AhLongPunchdieyou,,,,50,2,1.0,False,0,Sin Ming Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,e0137f63-effc-32dc-b521-ce22169a91bf,"world,103.83623,1.354457,e0137f63-effc-32dc-b521-ce22169a91bf,1656353957",2019-07-23 06:24:02,103.83623,1.354457,0,0,0,POINT (103.83623 1.354457)
131,Thomson,0,SN,alert-1658937294/7ce8791b-1196-3191-9650-6595d0d50d2b,,,False,False,"{'x': 103.836526, 'y': 1.353979}",213,0,0,0,,1563863595000,5,AhLongPunchdieyou,,,,50,2,1.0,False,0,Jln Minggu,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,7ce8791b-1196-3191-9650-6595d0d50d2b,"world,103.836526,1.353979,7ce8791b-1196-3191-9650-6595d0d50d2b,1658937294",2019-07-23 06:33:15,103.836526,1.353979,0,0,0,POINT (103.836526 1.353979)
132,Bishan,0,SN,alert-1640984821/4d502b10-b036-388a-b463-51ba8e17bfaf,,,False,False,"{'x': 103.836967, 'y': 1.355176}",231,1,0,0,,1563868331000,6,,,,,46,2,1.0,False,0,Sin Ming Rd,JAM_HEAVY_TRAFFIC,JAM,4d502b10-b036-388a-b463-51ba8e17bfaf,"world,103.836967,1.355176,4d502b10-b036-388a-b463-51ba8e17bfaf,1640984821",2019-07-23 07:52:11,103.836967,1.355176,0,1,1,POINT (103.836967 1.355176)
133,Bishan,0,SN,alert-1656573297/4e0710b2-beb5-3ebe-8aac-8676eaaf0836,,,False,False,"{'x': 103.837161, 'y': 1.355333}",231,0,0,0,,1563868439000,5,ElvinLHW,,,,0,5,1.0,False,0,Sin Ming Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,4e0710b2-beb5-3ebe-8aac-8676eaaf0836,"world,103.837161,1.355333,4e0710b2-beb5-3ebe-8aac-8676eaaf0836,1656573297",2019-07-23 07:53:59,103.837161,1.355333,0,0,0,POINT (103.837161 1.355333)
