,city,confidence,country,id,imageId,imageUrl,inscale,isJamUnifiedAlert,location,magvar,nComments,nImages,nThumbsUp,nearBy,pubMillis,reliability,reportBy,reportByActiveGroupIcon,reportByActiveGroupName,reportDescription,reportMood,reportRating,roadType,showFacebookPic,speed,street,subtype,type,uuid,wazeData,datetime,lon,lat,thumbs_up,thumbs_down,comments,geometry
45,Outram,1,SN,alert-1646593270/3ec336cb-7ada-3f31-8ffa-55014fd45867,,,False,False,"{'x': 103.833327, 'y': 1.289736}",349,0,0,3,,1563863922000,8,,,,,1,1,2.0,False,0,Zion Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,3ec336cb-7ada-3f31-8ffa-55014fd45867,"world,103.833327,1.289736,3ec336cb-7ada-3f31-8ffa-55014fd45867,1646593270",2019-07-23 06:38:42,103.833327,1.289736,3,0,3,POINT (103.833327 1.289736)
46,Bukit Timah,5,SN,alert-1653161696/2b4dcc38-b12e-3247-a41e-f19165ffa8f3,,,False,False,"{'x': 103.836163, 'y': 1.316143}",318,3,0,22,,1563846082000,10,MazdaNinjaHappy,,,,48,3,2.0,False,0,Bukit Timah Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,2b4dcc38-b12e-3247-a41e-f19165ffa8f3,"world,103.836163,1.316143,2b4dcc38-b12e-3247-a41e-f19165ffa8f3,1653161696",2019-07-23 01:41:22,103.836163,1.316143,22,3,25,POINT (103.836163 1.316143)
47,River Valley,0,SN,alert-1636485682/622693be-678c-3aa3-bdbe-9a8cd680f4ca,,,False,False,"{'x': 103.832659, 'y': 1.290242}",284,0,0,0,,1563864165000,5,ryanrawi,,,,50,3,2.0,False,0,Ganges Ave,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,622693be-678c-3aa3-bdbe-9a8cd680f4ca,"world,103.832659,1.290242,622693be-678c-3aa3-bdbe-9a8cd680f4ca,1636485682",2019-07-23 06:42:45,103.832659,1.290242,0,0,0,POINT (103.832659 1.290242)
48,River Valley,5,SN,alert-1651503137/b1dc3ba5-7e7e-33bf-a2a4-87d6c59ad248,,,False,False,"{'x': 103.82621, 'y': 1.290762}",181,0,0,20,,1563852199000,10,,,,,10,4,2.0,False,0,Delta Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,b1dc3ba5-7e7e-33bf-a2a4-87d6c59ad248,"world,103.82621,1.290762,b1dc3ba5-7e7e-33bf-a2a4-87d6c59ad248,1651503137",2019-07-23 03:23:19,103.82621,1.290762,20,0,20,POINT (103.82621 1.290762)
49,Outram,2,SN,alert-1651765245/d25dc79a-c630-3c88-a3b6-7388463c8995,,,False,False,"{'x': 103.845655, 'y': 1.287078}",39,0,0,6,,1563861339000,10,andy9969,ufmnew1,UFM 100.3,,52,4,2.0,False,0,Eu Tong Sen St,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,d25dc79a-c630-3c88-a3b6-7388463c8995,"world,103.845655,1.287078,d25dc79a-c630-3c88-a3b6-7388463c8995,1651765245",2019-07-23 05:55:39,103.845655,1.287078,6,0,6,POINT (103.845655 1.287078)
50,Novena,3,SN,alert-1635481333/6cc7f146-f768-34dd-86f2-5e1402efe16b,,,False,False,"{'x': 103.845051, 'y': 1.31539}",350,0,0,6,,1563852803000,10,,,,,1,2,2.0,False,0,Thomson Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,6cc7f146-f768-34dd-86f2-5e1402efe16b,"world,103.845051,1.31539,6cc7f146-f768-34dd-86f2-5e1402efe16b,1635481333",2019-07-23 03:33:23,103.845051,1.31539,6,0,6,POINT (103.845051 1.31539)
51,Bukit Merah,0,SN,alert-1648103598/7ed39dbe-78e2-37d8-bfec-28cf8a9fba23,,,False,False,"{'x': 103.815222, 'y': 1.290462}",18,0,0,0,,1563852998000,5,jasonlimjc,,,,8,2,1.0,False,0,Leng Kee Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,7ed39dbe-78e2-37d8-bfec-28cf8a9fba23,"world,103.815222,1.290462,7ed39dbe-78e2-37d8-bfec-28cf8a9fba23,1648103598",2019-07-23 03:36:38,103.815222,1.290462,0,0,0,POINT (103.815222 1.290462)
52,Outram,0,SN,alert-1634426473/c416919e-15fa-3659-aa33-6d761270b28f,,,False,False,"{'x': 103.838923, 'y': 1.281272}",145,0,0,1,,1563864533000,6,,,,,24,0,2.0,False,0,Outram Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,c416919e-15fa-3659-aa33-6d761270b28f,"world,103.838923,1.281272,c416919e-15fa-3659-aa33-6d761270b28f,1634426473",2019-07-23 06:48:53,103.838923,1.281272,1,0,1,POINT (103.838923 1.281272)
53,Bukit Timah,1,SN,alert-1652180037/c67fc63c-3e0b-319f-9dcc-a9f1043de66a,,,False,False,"{'x': 103.847909, 'y': 1.311498}",160,0,0,4,,1563846591000,10,,,,,49,3,2.0,False,0,Keng Lee Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,c67fc63c-3e0b-319f-9dcc-a9f1043de66a,"world,103.847909,1.311498,c67fc63c-3e0b-319f-9dcc-a9f1043de66a,1652180037",2019-07-23 01:49:51,103.847909,1.311498,4,0,4,POINT (103.847909 1.311498)
54,Geylang,3,SN,alert-1642063320/5a4748e2-4e78-3265-946f-5db390af9e49,,,False,False,"{'x': 103.87926, 'y': 1.30983}",252,0,0,7,,1563853551000,10,,,,,1,4,2.0,False,0,Guillemard Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,5a4748e2-4e78-3265-946f-5db390af9e49,"world,103.87926,1.30983,5a4748e2-4e78-3265-946f-5db390af9e49,1642063320",2019-07-23 03:45:51,103.87926,1.30983,7,0,7,POINT (103.87926 1.30983)
55,Rochor,1,SN,alert-1636402012/c19c97e0-4790-39eb-85dc-0302e80e1aa5,,,False,False,"{'x': 103.861523, 'y': 1.301177}",244,0,0,2,,1563846662000,7,,,,,46,2,2.0,False,0,Beach Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,c19c97e0-4790-39eb-85dc-0302e80e1aa5,"world,103.861523,1.301177,c19c97e0-4790-39eb-85dc-0302e80e1aa5,1636402012",2019-07-23 01:51:02,103.861523,1.301177,2,0,2,POINT (103.861523 1.301177)
56,Bukit Timah,0,SN,alert-1638713733/6d432b52-3a37-3ff3-9c79-73308cc690dc,,,False,False,"{'x': 103.847913, 'y': 1.311487}",160,0,0,0,,1563846677000,5,SpeedyReyez,,,,49,2,2.0,False,0,Keng Lee Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,6d432b52-3a37-3ff3-9c79-73308cc690dc,"world,103.847913,1.311487,6d432b52-3a37-3ff3-9c79-73308cc690dc,1638713733",2019-07-23 01:51:17,103.847913,1.311487,0,0,0,POINT (103.847913 1.311487)
57,Bukit Timah,2,SN,alert-1647265938/0dc0c8ed-ad81-3eb2-88b7-764b527b9fbe,,,False,False,"{'x': 103.838507, 'y': 1.313575}",318,1,0,3,,1563862276000,9,,,,,10,2,2.0,False,0,Bukit Timah Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,0dc0c8ed-ad81-3eb2-88b7-764b527b9fbe,"world,103.838507,1.313575,0dc0c8ed-ad81-3eb2-88b7-764b527b9fbe,1647265938",2019-07-23 06:11:16,103.838507,1.313575,3,1,4,POINT (103.838507 1.313575)
58,Geylang,1,SN,alert-1640182381/affa467d-5ec0-37ae-af21-695cf9990595,,,False,False,"{'x': 103.878031, 'y': 1.317913}",256,0,0,2,,1563847170000,7,andy9969,ufmnew1,UFM 100.3,,52,4,1.0,False,0,Sims Drive,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,affa467d-5ec0-37ae-af21-695cf9990595,"world,103.878031,1.317913,affa467d-5ec0-37ae-af21-695cf9990595,1640182381",2019-07-23 01:59:30,103.878031,1.317913,2,0,2,POINT (103.878031 1.317913)
59,River Valley,3,SN,alert-1642399760/af83c09d-6562-3262-93c2-687aa7ab6c19,,,False,False,"{'x': 103.833854, 'y': 1.29619}",103,0,0,6,,1563847258000,10,,,,,50,1,2.0,False,0,River Valley Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,af83c09d-6562-3262-93c2-687aa7ab6c19,"world,103.833854,1.29619,af83c09d-6562-3262-93c2-687aa7ab6c19,1642399760",2019-07-23 02:00:58,103.833854,1.29619,6,0,6,POINT (103.833854 1.29619)
60,River Valley,0,SN,alert-1652219767/064bbd79-d0fb-3b1a-84ee-0eec01c45365,,,False,False,"{'x': 103.837461, 'y': 1.295447}",159,0,0,2,,1563847309000,8,,,,,50,1,1.0,False,0,River Valley Close,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,064bbd79-d0fb-3b1a-84ee-0eec01c45365,"world,103.837461,1.295447,064bbd79-d0fb-3b1a-84ee-0eec01c45365,1652219767",2019-07-23 02:01:49,103.837461,1.295447,2,0,2,POINT (103.837461 1.295447)
61,Geylang,1,SN,alert-1635022413/a45b3a93-5e77-3aea-ba57-c8db38e0f74f,,,False,False,"{'x': 103.878, 'y': 1.317}",0,0,0,2,,1563847344000,7,andy9969,ufmnew1,UFM 100.3,,52,4,1.0,False,0,Sims Drive,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,a45b3a93-5e77-3aea-ba57-c8db38e0f74f,"world,103.878,1.317,a45b3a93-5e77-3aea-ba57-c8db38e0f74f,1635022413",2019-07-23 02:02:24,103.878,1.317,2,0,2,POINT (103.878 1.317)
62,Geylang,0,SN,alert-1655395177/8c17e9e2-a1d1-33d5-98a9-08b5cab56312,,,False,False,"{'x': 103.885232, 'y': 1.311129}",259,0,0,1,,1563854346000,7,,,,,49,4,2.0,False,0,Guillemard Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,8c17e9e2-a1d1-33d5-98a9-08b5cab56312,"world,103.885232,1.311129,8c17e9e2-a1d1-33d5-98a9-08b5cab56312,1655395177",2019-07-23 03:59:06,103.885232,1.311129,1,0,1,POINT (103.885232 1.311129)
63,Kallang,2,SN,alert-1648102438/a0235a59-8cdb-3fe2-ad9e-d11e96648f87,,,False,False,"{'x': 103.862229, 'y': 1.306795}",228,0,0,5,,1563847432000,10,SLF8872Z,,,,14,2,2.0,False,0,Kallang Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,a0235a59-8cdb-3fe2-ad9e-d11e96648f87,"world,103.862229,1.306795,a0235a59-8cdb-3fe2-ad9e-d11e96648f87,1648102438",2019-07-23 02:03:52,103.862229,1.306795,5,0,5,POINT (103.862229 1.306795)
64,Orchard,3,SN,alert-1655781584/c68109e7-d1f4-3c2f-9815-55a9e16431f8,,,False,False,"{'x': 103.827082, 'y': 1.299103}",281,0,0,8,,1563854732000,10,dragonblufly,,,,1,2,2.0,False,0,Grange Rd,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,c68109e7-d1f4-3c2f-9815-55a9e16431f8,"world,103.827082,1.299103,c68109e7-d1f4-3c2f-9815-55a9e16431f8,1655781584",2019-07-23 04:05:32,103.827082,1.299103,8,0,8,POINT (103.827082 1.299103)
65,Rochor,1,SN,alert-1648900088/674a971d-aa69-3da2-9208-f88b914eaa50,,,False,False,"{'x': 103.861256, 'y': 1.305903}",228,1,0,2,,1563847938000,8,,,,,1,2,2.0,False,0,Victoria St,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD,674a971d-aa69-3da2-9208-f88b914eaa50,"world,103.861256,1.305903,674a971d-aa69-3da2-9208-f88b914eaa50,1648900088",2019-07-23 02:12:18,103.861256,1.305903,2,1,3,POINT (103.861256 1.305903)
